data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,event_type_2,Police Involved?,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin2-rev,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
320768,788,TUN480,480,23-May-11,2011,1,Riots/Protests,Riots/Protests,0,Protesters (Eritrea),IDPs/Refugees (Eritrea),6,,,0,60,Northern Africa,Tunisia,Medenine,Ben Guerdane,Ben Guerdane,,Choucha Refugee Camp,33.1399,11.4611,1,Agence France Presse,International,Refugees protest to demand resettlement,0,1515624295,TUN
320769,788,TUN481,481,23-May-11,2011,1,Riots/Protests,Riot,0,Rioters (Eritrea),IDPs/Refugees (Eritrea),5,Rioters (Tunisia),,5,55,Northern Africa,Tunisia,Medenine,Ben Guerdane,Ben Guerdane,,Choucha Refugee Camp,33.1399,11.4611,1,The Associated Press; Agence France Presse,International,"On Monday protesters blocked a highway near the Chouca refugee camp, angering locals and sparking clashes during which at least two people died.",2,1515624295,TUN
320766,788,TUN478,478,22-May-11,2011,1,Riots/Protests,Riots/Protests,0,Rioters (Eritrea),Refugees/IDPs (Eritrea),5,,,0,50,Northern Africa,Tunisia,Medenine,Ben Guerdane,Ben Guerdane,,Choucha Refugee Camp,33.1399,11.4611,1,Sudan Tribune,Regional,Protest at refugee camp. Four Eritrean refugees died when a fire spread through the Choucha camp at Ras Ajdir.,4,1515624295,TUN
320767,788,TUN479,479,22-May-11,2011,1,Battle-No change of territory,Battle-No change of territory,0,Unidentified Armed Group (Tunisia),,3,Police Forces of Tunisia (2011-2014),Military Forces of Tunisia (2011-2014) National Guard,1,13,Northern Africa,Tunisia,Medenine,Zarzis,Zarzis,,Zarzis,33.504,11.1122,1,Agence France Presse,International,Armed men attack police station and National Guard security posts in effort to free detainee.,0,1515624295,TUN
320764,788,TUN476,476,18-May-11,2011,1,Battle-No change of territory,Battle-No change of territory,0,AQIM: Al Qaeda in the Islamic Maghreb,,2,Military Forces of Tunisia (2011-2014),,1,12,Northern Africa,Tunisia,Siliana,Rouhia,Rouhia,,Rouhia,35.6978,9.1456,1,Agence France Presse,International,Clash between suspected AQIM militants and Tunisian forces,4,1515624295,TUN
320765,788,TUN477,477,18-May-11,2011,1,Riots/Protests,Riot,0,Rioters (Tunisia),,5,,,0,50,Northern Africa,Tunisia,Sfax,Sfax Medina,Sfax Medina,,Sfax,34.7406,10.7603,1,Agence France Presse,International,Prison riot,0,1515624295,TUN
320763,788,TUN475,475,17-May-11,2011,1,Remote violence,Remote violence,0,Libyan Rebel Forces,,2,Militia (Pro-Government),,3,23,Northern Africa,Tunisia,Tataouine,Dhiba,Dhiba,,Dehiba,32.008,10.7014,2,VOA,International,Libyan forces loyal to Gadhafi fire rockets into Tunisia,0,1515624295,TUN
320762,788,TUN474,474,16-May-11,2011,3,Violence against civilians,Violence against civilians,0,Police Forces of Tunisia (2011-2014),,1,Civilians (Tunisia),,7,17,Northern Africa,Tunisia,Tunis,Bab Souika,Bab Souika,,Tunis,36.819,10.1658,3,Arabic Network for Human Rights Information,Other,Plainclothes police physically assaulted 15 local and international journalists while they were covering demonstrations in May. No location noted.,0,1515624295,TUN
320761,788,TUN473,473,15-May-11,2011,1,Riots/Protests,Protest,0,Protesters (Tunisia),,6,,,0,60,Northern Africa,Tunisia,Tunis,Bab Souika,Bab Souika,,Tunis,36.819,10.1658,3,Al Jazeera TV,International,Pro-Palestinian rallies staged inÃÂ Tunisia. No location given.,0,1515624295,TUN
320758,788,TUN470,470,14-May-11,2011,1,Battle-No change of territory,Battle-No change of territory,0,Military Forces of Tunisia (2011-2014),,1,AQIM: Al Qaeda in the Islamic Maghreb,,2,12,Northern Africa,Tunisia,Tataouine,Tataouine Sud,Tataouine Sud,,Ksar Nekrif,32.8408,10.2624,1,Agency Tunis Afrique Presse,National,"Tunisian forces arrested an Algerian and a Libyan believed to be members of AQIM in possession of explosives in Nekrif, a town in the southern Tataouine region 130 kilometres (80 miles) from the Libyan border. The arrests were ""during a patrol of security forces but the Libyan refused to comply and he was injured"" and hospitalised.",0,1515624295,TUN
